	raw	no.adapt	filtered	derepF	derepR	denoisedF	denoisedR	merged	no.chim
91923F79445	140065	127722	103563	103563	103563	103563	103563	96615	56806
91924F79446	96225	86894	71257	71257	71257	71257	71257	64263	42974
91925F79447	129131	116773	96278	96278	96278	96278	96278	91114	67029
91926F79448	146567	132547	108814	108814	108814	108814	108814	101659	57387
91927F79449	118720	106518	87363	87363	87363	87363	87363	81298	68005
91928F79450	134561	121306	100081	100081	100081	100081	100081	92847	53954
91929F79451	147171	134816	109272	109272	109272	109272	109272	101938	57877
91930F79452	113599	102805	84713	84713	84713	84713	84713	78272	48097
91931F79453	155046	140102	115281	115281	115281	115281	115281	108661	73329
91932F79454	93418	84503	69374	69374	69374	69374	69374	64282	40370
91933F79455	103354	93435	76179	76179	76179	76179	76179	67168	44236
91934F79456	87168	78692	65534	65534	65534	65534	65534	59776	38815
91935F79457	242587	218045	179252	179252	179252	179252	179252	170054	116828
91936F79458	147347	135344	112054	112054	112054	112054	112054	104915	69108
91937F79459	182602	165231	133840	133840	133840	133840	133840	126893	89449
91938F79460	119217	110573	91047	91047	91047	91047	91047	85618	54906
91939F79461	122923	109212	87651	87651	87651	87651	87651	84317	81389
91940F79462	132475	119754	99352	99352	99352	99352	99352	93480	65077
91941F79463	136789	123820	99328	99328	99328	99328	99328	91409	59261
91942F79464	102929	91887	75981	75981	75981	75981	75981	71244	64154
91943F79465	109473	99154	82327	82327	82327	82327	82327	79145	61481
91944F79466	126182	113290	92697	92697	92697	92697	92697	87813	65365
91945F79467	127216	114076	92199	92199	92199	92199	92199	85455	62879
91946F79468	111272	99046	82786	82786	82786	82786	82786	79007	62102
91947F79469	96653	88427	72669	72669	72669	72669	72669	66907	46284
91948F79470	81894	73876	61626	61626	61626	61626	61626	57777	44080
91949F79471	93384	83841	69421	69421	69421	69421	69421	66002	54751
91950F79472	64658	60751	50306	50306	50306	50306	50306	45949	29684
91951F79473	90427	81181	66812	66812	66812	66812	66812	60684	46844
91952F79474	73057	67005	55680	55680	55680	55680	55680	51433	39255
91953F79475	125137	112963	93925	93925	93925	93925	93925	87060	56930
91954F79476	96101	86162	72156	72156	72156	72156	72156	66777	51622
91955F79477	100474	90800	75379	75379	75379	75379	75379	71673	52332
91956F79478	114899	104164	86999	86999	86999	86999	86999	81425	53488
91957F79479	103078	92722	76431	76431	76431	76431	76431	70303	45114
91958F79480	89596	81352	67523	67523	67523	67523	67523	61988	41205
91959F79481	164348	149192	120634	120634	120634	120634	120634	112478	74835
91960F79482	87230	78450	63987	63987	63987	63987	63987	58974	43446
91961F79483	68179	61398	45222	45222	45222	45222	45222	42322	32121
91962F79484	72731	66620	54298	54298	54298	54298	54298	50766	35287
91963F79485	69632	62297	48043	48043	48043	48043	48043	42863	31173
91964F79486	68852	62250	51110	51110	51110	51110	51110	47673	38097
91965F79487	40677	36479	27929	27929	27929	27929	27929	26096	20092
91966F79488	62503	55930	45547	45547	45547	45547	45547	42330	32889
91967F79489	90215	81185	66344	66344	66344	66344	66344	61910	45753
91968F79490	63718	57520	46880	46880	46880	46880	46880	43607	32658
91969F79491	87109	78444	62483	62483	62483	62483	62483	57093	39401
91970F79492	79603	71527	59506	59506	59506	59506	59506	55702	35079
91971F79493	169671	154747	128472	128472	128472	128472	128472	120158	64159
91972F79494	115643	105978	88594	88594	88594	88594	88594	83790	53947
91973F79495	102375	93733	77887	77887	77887	77887	77887	74541	44819
91974F79496	90296	81192	68355	68355	68355	68355	68355	65517	46108
91975F79497	120277	110177	90801	90801	90801	90801	90801	84380	51517
91976F79498	97859	87238	73495	73495	73495	73495	73495	69707	53230
91977F79499	114146	103721	85055	85055	85055	85055	85055	79043	51698
91978F79500	117322	105936	88024	88024	88024	88024	88024	82671	54859
91979F79501	111943	101062	84082	84082	84082	84082	84082	79985	55986
91980F79502	89911	82182	69193	69193	69193	69193	69193	66365	48329
91981F79503	95467	86305	71547	71547	71547	71547	71547	66578	42883
91982F79504	112897	101793	86071	86071	86071	86071	86071	82274	65161
91983F79505	181780	163542	132544	132544	132544	132544	132544	123723	76585
91984F79506	117051	104872	86605	86605	86605	86605	86605	81524	54609
91985F79507	52371	47866	39285	39285	39285	39285	39285	37516	26600
91986F79508	81920	74223	61162	61162	61162	61162	61162	57705	39899
91987F79509	107549	97365	79317	79317	79317	79317	79317	73321	48238
91988F79510	80583	73042	60750	60750	60750	60750	60750	57186	36733
91989F79511	91209	81696	66702	66702	66702	66702	66702	62551	48483
91990F79512	83380	75437	62092	62092	62092	62092	62092	57754	37442
91991F79513	97123	88232	71645	71645	71645	71645	71645	67101	47020
91992F79514	77819	70615	58039	58039	58039	58039	58039	54218	35930
91993F79515	101233	91155	73516	73516	73516	73516	73516	66976	46102
91994F79516	74517	66604	55976	55976	55976	55976	55976	52761	35565
91995F79517	125111	114580	91934	91934	91934	91934	91934	87777	76994
91996F79518	118975	108374	87860	87860	87860	87860	87860	83806	74685
91997F79519	107392	96478	79033	79033	79033	79033	79033	75617	62944
91998F79520	101174	91365	75107	75107	75107	75107	75107	71968	60569
91999F79521	78928	71083	57738	57738	57738	57738	57738	52156	37400
92000F79522	110262	99038	80672	80672	80672	80672	80672	73586	51372
92001F79523	110962	101124	82430	82430	82430	82430	82430	73879	43479
